反応集男, ガーシー議員が、昨日放送の『アッコにおまかせ』で自身の議員活動の歳費などが税金から支払われていることについてコメントした陣内智則にSNSで反応した。   ガーシー議員はインスタストーリーで陣内智則の発言を記事にした画像を投稿し、  「昔女の子アテンドしとんのになー あえて触れんかったのに おもんなー」とコメントした。   https://i.imgur.com/i1SKIOW.jpg   ガーシー氏インスタグラムより  https://instagram.com/gaasyy_ch?igshid=YmMyMTA2M2Y=     関連スレ  陣内智則「我々の税金から？」　ガーシー議員への総支給額に「えげつない」 [爆笑ゴリラ★]  https://hayabusa9.5ch.net/test/read.cgi/mnewsplus/1673761620/ 
反応集女, だ　か　ら　な　に　 
反応集男（渋め）, もうそれしか言う事ないんか？ 
反応集男（高め）, ダッセーヤツだなこいつはwww 
反応集男（遅め）, また脅し？ 
反応集男, 裏で脅迫してたんか 
反応集女, ダサすぎるやろ 
反応集男（渋め）, ガーシーをちょっとでも批判するとこうなるから気をつけろ 
反応集男（高め）, はい脅迫 
反応集男（遅め）, 息を吐くように脅迫 
反応集男, 怖いわ 
反応集女, 同じ事しか言わないのか 
反応集男（渋め）, こんなのが議員とか日本やべーわ。 
反応集男（高め）, ゴミかよこいつは 
反応集男（遅め）, ガーシーもう脅迫に躊躇ねぇな 
反応集男, 朝鮮人に関わると一生後悔する典型的な例 
反応集女, すぐ脅すね 
反応集男（渋め）, あと2ヶ月したらおしまいだもんなあ 
反応集男（高め）, だから？としか… 
反応集男（遅め）, しゃーない  非正規の30～50代から絶大な支持を得てるからな 
反応集男, 凄い、自分がどう言う立場か理解してない。 
反応集女, 暴露予告か 
反応集男（渋め）, 昔はやってそうだから、余りダメージないな  問題は2度目の結婚以降にしてるかどうかやな 
反応集男（高め）, うん。それで？  だな 
反応集男（遅め）, 陣内には必殺技の  わしやないかい  があるし(ｗ 
反応集男, 陣内はこれ以上イメージ落ちようないし、ノーダメ 
反応集女, 陣内めくられるなw   ざまぁwww 
反応集男（渋め）, アテンドって何？お金もらっとるってこと？ 
反応集男（高め）, 脅迫しないと死ぬの？ 
反応集男（遅め）, コイツはそんな事実が無くても言ったもん勝ちでくるからな。 
反応集男, 陣内が「アテンドされたことはありません」って言ったら  陣内とクソのどっちを信じるかって言ったら陣内だな 
反応集女, まぁ陣内にならしてるでしょうねとしか 
反応集男（渋め）, アテンドされてなかったら  エゲツなって言ってもいいの？ 
反応集男（高め）, 陣内を敵に回すとかよくやるな 
反応集男（遅め）, これでどうにかなるとでも 
反応集男, 売女紹介しただけだろ笑 
反応集女, こいつ村井みたいに殺されてほしいわ  ヒットマン用意しとけよ 
反応集男（渋め）, よっしゃ、ガーシーいったれ！ 
反応集男（高め）, 小学生みたい 
反応集男（遅め）, だからなんなんだよ  クソだせえ 
反応集男, マジで気持ち悪いはこいつ二度とシャバに出てくんな  淳の顔も二度と見たくない出てくんな 
反応集女, よくわからんがアテンドってなに？セックス相手紹介して金貰ってるって事？ 
反応集男（渋め）, なんこいつこわいわ 
反応集男（高め）, >>28  女衒 
反応集男（遅め）, ほんでなんやねん 
反応集男, こんなクズが国会議員の国なんて他にある？ 
反応集女, このアテンドって言葉に合コンのセッティングなんかも含まれるらしくて、それだけの事を恩着せがましく言ってるのかって有名人も大勢いるよ。 
反応集男（渋め）, やる事が一々ちいせえ 
反応集男（高め）, 女衒ガーシー情けなさすぎる 
反応集男（遅め）, 流石にしょーもない 
反応集男, 別にそれだけじゃ犯罪行為でも何でもないんだが 
反応集女, はい常習的脅迫 
反応集男（渋め）, おもいっきり脅迫とか最低な人間だな 
反応集男（高め）, アテンドしたからなんやねんって話 
反応集男（遅め）, >>42  普通に飲み会に女子を呼ぶだけのも含まれる 
反応集男, 女衒かこのオッサンは 
反応集女, こいつはアテンドしたら人を支配出来ると思ってんのかw  吉本舐めるなよw  どんな不祥事もなんともねーぞw 
反応集男（渋め）, 関係なくね？  親族友人同僚だろうと間違えは指摘するのが人間社会だろに 
反応集男（高め）, >>42  金は一切貰ってない 
反応集男（遅め）, キター！！ 
反応集男, 陣内なら何されてもネタにできるからな  無敵のワシやないかい 
反応集女, 笑かしにきてるんか 
反応集男（渋め）, 陣内は昔遊んでたはノーダメージだもんな2回目の結婚した後のネタじゃないと 
反応集男（高め）, 恩を仇で返すのは  ダメだわな   最低だわ、陣内 
反応集男（遅め）, もう大した暴露話持ってないことがバレバレだしどんどんこの流れになるよな 
反応集男, そういうとこやぞ！って本人がわかってないんやろな 
反応集女, だからガーシー批判するな  やり返されるだけだから 
反応集男（渋め）, もう任意じゃなくて強制事情聴取でいいじゃん。なんで3月まで待ってやる必要あるんだよ。パスポートさっさと停止させろよ。 
反応集男（高め）, また脅迫ですか？ 
反応集男（遅め）, >>51  アテンドした女から色々情報を聞くんじゃない？  んで性癖とかの秘密を握るって感じだろ 
反応集男, ネチネチした朝鮮人キモい 
反応集女, 暴露予告きたか 
反応集男（渋め）, 芸能人が汚いことなんか日本の常識  その程度で「めくる」とかいきがってる  小学生かよ、恥ずかしい 
反応集男（高め）, 壊れたオルゴールやな 
反応集男（遅め）, >>37  生放送か 
反応集男, >>55  >>59  えwそれただのパシりでは？😅 
反応集女, だから付き合うやつ考えないと駄目だよ 
反応集男（渋め）, 逮捕されて国外に出れなくなってからが面白くなりそう 
反応集男（高め）, レベルが低すぎる😭 
反応集男（遅め）, 陣内オワタw 
反応集男, これが脅しと思ってるのが情けないな  お前その辺のおっさんとしか思われてないってことだぞ陣内から 
反応集女, 陣内はそういう人で通ってるからノーダメージ 
反応集男（渋め）, こいつの恨み節飽きた  単なる糖質だろもうw 
反応集男（高め）, パシリのパーシー議員 
反応集男（遅め）, 昔の話でガタガタ言うチョン思考 
反応集男, ワロタ 
反応集女, ここまでいくとこれは癖だな  脅迫癖だ 
反応集男（渋め）, 陣内嫌いなのか？w 
反応集男（高め）, なに言ってんだ  もう国際指名手配しろよ 
反応集男（遅め）, はい、陣内めくられますw 
反応集男, 陣内ビクビクw 
反応集女, ワロタ 
反応集男（渋め）, >>20  ウワサ好きの男子かw 
反応集男（高め）, 別にアテンドしたからって何？  それとこれは別だろ  陣内が違法行為してんなら分かるけどそのアテンドは違法なの？ 
反応集男（遅め）, もうこのおっさんの昔話はいいよ  何一つ影響ねえし  とりあえず議員報酬全額返せよ 
反応集男, >>1  また脅迫かよそれで捜査されてるのに 
反応集女, だから言ってるだろKの法則って  関わったらダメなんだよ 
反応集男（渋め）, 陣内智則終わったな 
反応集男（高め）, 人間関係を金に変えるやつに言われてもねー 
反応集男（遅め）, 国民が喜ぶと勘違いしてる三流芸能レポーター的な暴露、  ただの詐欺師じゃないのか 
